,City,Clouds,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
373,Usolye-Sibirskoye,71,RU,1578071182,80,52.75,103.66,261.19,0.56
374,Yumen,0,CN,1578071182,60,40.29,97.04,264.37,1.68
375,Katangli,100,RU,1578071182,95,51.71,143.23,254.6,2.74
376,Daru,100,PG,1578071182,83,-9.07,143.21,296.68,0.55
377,Madang,83,CN,1578071182,52,35.32,102.79,269.89,0.38
378,Machalpur,0,IN,1578071183,65,24.13,76.3,287.23,2.71
379,Romitan,35,UZ,1578071183,75,39.93,64.38,278.15,2.1
380,Saint-Michel-des-Saints,93,CA,1578071183,95,46.68,-73.92,274.5,4.03
381,La Ronge,90,CA,1578071183,78,55.1,-105.3,264.15,4.1
382,Jaru,97,BR,1578071183,90,-10.43,-62.48,299.68,2.35
383,Oranjemund,0,ZA,1578071183,79,-28.55,16.43,290.76,8.39
384,Ulaangom,27,MN,1578071183,91,49.98,92.07,247.61,1.08
385,Semey,67,KZ,1578071184,85,50.41,80.25,264.15,2.0
386,Iberia,79,PE,1578071184,98,-11.41,-69.49,297.07,1.12
387,Port Macquarie,0,AU,1578070915,83,-31.43,152.91,294.82,3.6
388,Puerto Carreno,85,CO,1578071184,55,6.19,-67.49,304.15,5.7
389,Tazovskiy,96,RU,1578071184,95,67.47,78.7,249.78,4.91
390,Hoima,100,UG,1578071184,53,1.43,31.35,296.94,0.23
391,Buin,0,CL,1578071184,32,-33.73,-70.74,301.15,3.1
392,Almeirim,77,BR,1578071184,78,-1.53,-52.58,302.08,1.68
393,Phek,100,IN,1578071184,98,25.7,94.46,284.31,1.24
394,Faya,0,SA,1578071184,87,18.39,42.45,290.15,5.1
395,San Carlos de Bariloche,0,AR,1578071185,27,-41.13,-71.31,298.15,12.9
396,Melo,23,UY,1578071185,46,-32.37,-54.17,299.64,7.62
397,Mitchell,90,US,1578071050,84,43.71,-98.03,273.15,14.9
398,Muscat,0,OM,1578071185,57,23.6,58.55,297.15,0.38
399,Kizukuri,100,JP,1578071185,57,40.81,140.39,271.48,2.68
400,Balkhash,100,KZ,1578071185,80,46.84,74.98,266.41,0.45
401,Ancud,75,CL,1578071185,68,-41.87,-73.83,295.15,5.7
402,Gualaquiza,95,EC,1578071185,74,-3.4,-78.58,295.78,1.09
403,Riom,75,FR,1578071185,71,45.89,3.11,283.15,2.1
404,Zmeinogorsk,52,RU,1578071185,91,51.15,82.2,265.12,2.15
405,Canmore,75,CA,1578071186,71,51.09,-115.35,264.26,1.0
406,Nurota,24,UZ,1578071186,86,40.56,65.69,278.15,5.1
407,Ixtapa,5,MX,1578070954,77,20.71,-105.21,295.37,2.1
408,Torbay,90,CA,1578071186,83,47.66,-52.73,273.71,10.3
409,Prince Rupert,90,CA,1578071186,93,54.32,-130.32,275.15,1.0
410,Sao Felix do Xingu,100,BR,1578071186,99,-6.64,-51.99,295.8,0.55
411,Vigrestad,40,NO,1578071186,70,58.57,5.7,279.26,10.8
412,Qiyang,76,CN,1578071186,81,26.59,111.85,280.47,1.79
413,Taltal,13,CL,1578071186,67,-25.41,-70.49,292.02,3.66
414,Havre-Saint-Pierre,1,CA,1578071186,73,50.23,-63.6,266.15,3.1
415,Dauriya,0,RU,1578071186,92,49.93,116.85,254.26,2.43
416,Half Moon Bay,75,US,1578071187,76,37.46,-122.43,285.37,3.1
417,Zhezkazgan,99,KZ,1578071187,97,47.8,67.71,269.83,2.72
418,Ozinki,100,RU,1578071187,94,51.2,49.73,270.33,5.0
419,San Jeronimo,90,PE,1578071187,76,-13.65,-73.37,285.15,4.6
420,Labuhan,100,ID,1578071187,95,-2.54,115.51,296.4,0.53
421,Sassandra,53,CI,1578071247,49,4.95,-6.09,299.25,2.61
422,Tuatapere,81,NZ,1578071247,81,-46.13,167.69,280.93,5.81
423,Rena,79,ES,1578071247,71,39.05,-5.81,285.37,0.89
424,Datong,15,CN,1578071100,71,40.09,113.3,264.71,1.4
425,Chara,40,GR,1578071247,55,39.42,22.43,281.15,0.79
426,Batsfjord,89,NO,1578070985,80,70.63,29.72,273.15,1.5
427,Raudeberg,75,NO,1578071248,80,61.99,5.14,275.15,12.9
428,Emerald,4,AU,1578071248,61,-23.53,148.16,298.15,4.1
429,Bilma,0,NE,1578071248,25,18.69,12.92,285.08,2.66
430,Purranque,20,CL,1578071229,69,-40.91,-73.16,297.15,3.6
431,Turinsk,100,RU,1578071248,90,58.04,63.7,265.57,6.56
432,Panaba,0,MX,1578071248,51,21.28,-88.27,304.43,5.18
433,Reading,90,US,1578071247,100,40.34,-75.93,281.48,0.9
434,Karagay,100,RU,1578071248,93,58.27,54.93,270.78,6.46
435,Ginir,55,ET,1578071248,81,7.14,40.71,288.69,1.78
436,Kampot,20,KH,1578071248,88,10.62,104.18,298.15,1.0
437,Beinamar,20,TD,1578071248,22,8.67,15.38,295.74,2.2
438,Chichihualco,70,MX,1578071248,69,17.68,-99.65,293.59,1.5
439,Lipin Bor,100,RU,1578071248,90,60.26,37.97,274.25,5.8
440,Kudahuvadhoo,55,MV,1578071249,76,2.67,72.89,301.48,3.96
441,Evanton,40,GB,1578071249,75,57.66,-4.34,279.26,10.8
442,Jiayuguan,0,CN,1578071249,71,39.77,98.29,262.95,0.27
443,Aykhal,0,RU,1578071249,83,65.95,111.51,248.15,1.0
444,Eyl,18,SO,1578071249,81,7.98,49.82,298.7,8.74
445,Brae,98,GB,1578070985,69,60.4,-1.35,277.15,11.3
446,Sinnamary,100,GF,1578071249,75,5.38,-52.96,300.09,5.62
447,Natalio,60,PY,1578071249,40,-26.76,-55.14,304.56,2.95
448,Forestville,90,CA,1578071249,86,48.74,-69.09,270.15,1.5
449,Sao Joao da Barra,75,BR,1578071249,58,-21.64,-41.05,304.15,3.1
450,Larsnes,75,NO,1578071250,69,62.2,5.58,275.15,18.0
451,Kununurra,94,AU,1578071250,74,-15.77,128.74,301.15,1.5
452,Riyadh,0,SA,1578071210,36,24.63,46.72,298.15,2.1
453,Corrales,52,CO,1578071250,50,5.83,-72.84,291.03,1.84
454,Nhulunbuy,40,AU,1578071250,74,-12.18,136.78,302.15,2.1
455,Srednekolymsk,2,RU,1578071250,77,67.46,153.71,253.68,1.32
456,Srinivaspur,40,IN,1578071250,78,13.34,78.21,296.15,3.6
457,Aklavik,90,CA,1578071250,69,68.22,-135.01,248.15,4.6
458,Aquiraz,75,BR,1578071250,62,-3.9,-38.39,304.15,6.7
459,Troitskoye,93,RU,1578071250,95,52.98,84.68,267.05,3.62
460,Rehoboth,92,NA,1578071250,43,-23.31,17.08,299.47,8.92
461,Konevo,69,BG,1578071251,56,41.67,25.61,278.15,0.45
462,Laguna,41,BZ,1578071251,62,16.17,-88.94,304.15,2.1
463,Lakatoro,1,VU,1578071251,74,-16.11,167.42,299.42,4.27
464,Kanashevo,80,RU,1578071251,78,55.21,62.07,264.15,5.0
465,Revda,100,RU,1578071251,98,67.94,34.55,273.15,2.15
466,Nioro,100,GM,1578071251,7,13.79,-15.05,305.13,4.12
467,Aksu,75,KZ,1578071251,92,52.04,76.93,272.15,6.0
468,Adrar,25,DZ,1578071251,20,27.87,-0.29,291.15,5.7
469,Darhan,0,MN,1578071251,80,49.49,105.92,257.04,1.66
470,Onalaska,90,US,1578071251,69,43.88,-91.23,275.37,2.1
471,Marawi,90,PH,1578071251,90,8.0,124.29,295.93,4.02
472,Bonavista,6,CA,1578071251,84,48.65,-53.11,272.68,6.56
473,Santa Maria,75,BR,1578071252,58,-16.02,-48.01,301.15,5.1
474,Kibre Mengist,53,ET,1578071252,87,5.87,38.99,288.96,1.04
475,Kaya,7,NG,1578071252,23,13.31,12.68,290.58,4.87
476,Kozlovka,90,RU,1578071312,91,55.84,48.25,274.15,9.0
477,Kargat,100,RU,1578071312,92,55.19,80.28,266.85,6.11
478,Okha,98,RU,1578071313,99,53.59,142.95,253.96,1.96
479,Usta Muhammad,9,PK,1578071313,30,28.18,68.05,286.59,0.9
480,Fairbanks,1,US,1578071313,82,64.84,-147.72,253.15,1.42
481,Borazjan,75,IR,1578071313,56,29.27,51.21,293.15,1.0
482,Aranos,64,NA,1578071313,22,-24.14,19.11,306.63,3.22
483,Shimoni,94,KE,1578071313,83,-4.65,39.38,300.23,5.7
484,Athens,20,GR,1578071191,36,37.98,23.73,283.15,2.6
485,Ojinaga,1,US,1578071313,81,29.56,-104.41,280.93,4.52
486,Tres Arroyos,0,AR,1578071314,26,-38.38,-60.28,303.92,5.21
487,Makakilo City,75,US,1578071314,88,21.35,-158.09,297.15,1.5
488,Yermakovskoye,39,RU,1578071314,74,53.28,92.4,260.99,1.77
489,Beringovskiy,0,RU,1578071314,79,63.05,179.32,249.94,7.39
490,Macon,90,US,1578071314,69,32.84,-83.63,299.15,7.2
491,Sept-Iles,75,CA,1578071224,67,50.2,-66.38,268.15,2.6
492,Merauke,100,ID,1578071249,90,-8.49,140.4,297.42,1.92
493,Jinchang,0,CN,1578071314,36,38.52,102.19,269.15,1.95
494,Winnemucca,1,US,1578071315,69,40.97,-117.74,275.93,1.5
495,Gejiu,100,CN,1578071315,97,23.36,103.16,285.23,2.12
496,Shache,100,CN,1578071315,63,38.42,77.24,268.26,1.95
497,Vardo,90,US,1578071315,87,39.62,-77.74,283.71,2.6
498,Constantine,0,DZ,1578071059,75,36.36,6.61,280.15,3.6
499,Martinez,90,US,1578071315,93,38.01,-122.13,285.37,1.73
500,Seydi,37,NE,1578071315,15,13.34,7.75,295.15,6.2
501,Saiha,100,IN,1578071315,99,22.49,92.98,287.78,0.4
502,Grand Gaube,75,MU,1578071315,94,-20.01,57.66,299.15,1.5
503,Dombas,79,NO,1578071316,91,62.07,9.12,261.34,4.0
504,Pincher Creek,90,CA,1578071316,59,49.49,-113.95,277.04,2.21
505,Eureka,1,US,1578071316,86,40.8,-124.16,282.59,6.2
506,Bulawayo,83,ZW,1578071316,37,-20.16,28.59,298.63,2.53
507,Varzea Grande,40,BR,1578071316,68,-29.42,-50.86,298.15,2.1
508,Port Augusta,4,AU,1578071316,57,-32.49,137.76,295.37,2.24
509,Darnah,73,LY,1578071316,56,32.77,22.64,286.68,10.1
510,Haines Junction,80,CA,1578071316,98,60.75,-137.51,250.04,2.47
511,North Bend,1,US,1578071316,81,43.41,-124.22,280.15,2.6
512,Gizo,75,IL,1578071316,58,31.8,34.94,286.15,3.6
513,Kindu,83,CD,1578071317,97,-2.95,25.92,295.48,1.53
514,Cururupu,77,BR,1578071317,58,-1.82,-44.87,304.65,2.86
515,Faanui,88,PF,1578071317,79,-16.48,-151.75,300.56,6.68
516,Pombas,60,BR,1578071317,65,-15.9,-54.74,303.8,0.77
517,Hare Bay,75,CA,1578071317,85,48.86,-53.99,273.15,7.7
518,Tahlequah,90,US,1578071166,75,35.92,-94.97,282.04,4.6
519,Lamar,1,US,1578071317,74,38.09,-102.62,272.15,3.1
520,Bud,75,NO,1578071317,64,62.91,6.91,274.15,19.5
521,Aksarka,100,RU,1578071317,96,66.56,67.8,259.83,3.77
522,Lakselv,94,NO,1578071317,100,70.05,24.96,270.15,9.8
523,Zhuhai,29,CN,1578071317,84,40.71,112.04,257.15,1.0
524,Ourinhos,66,BR,1578071317,60,-22.98,-49.87,301.93,4.54
525,Houston,1,US,1578071100,55,29.76,-95.37,291.48,3.6
526,Talcahuano,3,CL,1578071121,64,-36.72,-73.12,296.15,4.6
